NM0:id X,NM0:id Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:self_gain X,NM0:self_gain Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y
0,2.212028524997792e-09,0,6.418858780872705e-08,0,2.027844572465173e-09,0,0.3286664364316926,0,0.04342422888276772,0,31.65360337784441,0,29.01797620625961,0,-1.44944261859364e-15,0,-2.692182222510747e-15,0,-3.128956209505113e-15,0,-1.449998526868507e-15
0.006,2.632562494162524e-09,0.006,7.633819120503517e-08,0.006,2.413107266053257e-09,0.006,0.3286664364316926,0.006,0.04342510542935229,0.006,31.63481055274001,0.006,28.99767609286701,0.006,-1.449467114234003e-15,0.006,-2.692182422218985e-15,0.006,-3.128973716367665e-15,0.006,-1.449998240643521e-15
0.012,3.13264855320407e-09,0.012,9.077085333099445e-08,0.012,2.871173976590316e-09,0.012,0.3286664364316926,0.012,0.04342614774729883,0.012,31.61454306533875,0.012,28.97575488657451,0.012,-1.449510926767078e-15,0.012,-2.692182659027731e-15,0.012,-3.12899447533923e-15,0.012,-1.449997898803254e-15
0.018,3.727222201568118e-09,0.018,1.079108347944737e-07,0.018,3.415690760810794e-09,0.018,0.3286664364316926,0.018,0.04342738694096822,0.018,31.59268281325871,0.018,28.95208073154651,0.018,-1.449577646681165e-15,0.018,-2.692182939818939e-15,0.018,-3.129019089585384e-15,0.018,-1.449997490556731e-15
0.024,4.433990607406259e-09,0.024,1.282598823549997e-07,0.024,4.062829357500273e-09,0.024,0.3286664364316926,0.024,0.04342885987934741,0.024,31.56910395909757,0.024,28.92651270564177,0.024,-1.449671556800159e-15,0.024,-2.692183272748907e-15,0.024,-3.129048273926698e-15,0.024,-1.449997003022111e-15
0.03,5.273937748957888e-09,0.03,1.524109990545692e-07,0.03,4.831745503984975e-09,0.03,0.3286664364316926,0.03,0.04343061024352515,0.03,31.54367276357343,0.03,28.89890051667397,0.03,-1.449797765113444e-15,0.03,-2.692183667483742e-15,0.03,-3.129082875454418e-15,0.03,-1.449996420822154e-15
0.036,6.271919027549735e-09,0.036,1.810645555836438e-07,0.036,5.745117835547119e-09,0.036,0.3286664364316926,0.036,0.04343268975841556,0.036,31.51624749336419,0.036,28.86908425772343,0.036,-1.449962363064536e-15,0.036,-2.692184135478171e-15,0.036,-3.129123897937315e-15,0.036,-1.449995725601547e-15
0.042,7.457360483702344e-09,0.042,2.150471122987862e-07,0.042,6.829780817270088e-09,0.042,0.3286664364316926,0.042,0.04343515963935105,0.042,31.48667842385344,0.042,28.8368942396456,0.042,-1.450172614166181e-15,0.042,-2.692184690305683e-15,0.042,-3.129172530711848e-15,0.042,-1.44999489545105e-15
0.04799999999999999,8.865080114201936e-09,0.04799999999999999,2.553333721117076e-07,0.04799999999999999,8.117467206721487e-09,0.04799999999999999,0.3286664364316926,0.04799999999999999,0.0434380922887477,0.04799999999999999,31.45480796033084,0.04799999999999999,28.80215092194871,0.04799999999999999,-1.450437178736206e-15,0.04799999999999999,-2.692185348049364e-15,0.04799999999999999,-3.1292301828724e-15,0.04799999999999999,-1.449993904220518e-15
0.05399999999999999,1.05362514744946e-08,0.05399999999999999,3.030717403982491e-07,0.05399999999999999,9.6456778549277e-09,0.05399999999999999,0.3286664364316926,0.05399999999999999,0.0434415732831419,0.05399999999999999,31.4204709048435,0.05399999999999999,28.76466496650605,0.05399999999999999,-1.450766381649842e-15,0.05399999999999999,-2.692186127764508e-15,0.05399999999999999,-3.129298523724534e-15,0.05399999999999999,-1.449992720699436e-15
0.05999999999999999,1.251953278843618e-08,0.05999999999999999,3.596140292149053e-07,0.05999999999999999,1.14586992418486e-08,0.05999999999999999,0.3286664364316926,0.05999999999999999,0.04344570369654277,0.05999999999999999,31.38349489980065,0.05999999999999999,28.72423744206468,0.05999999999999999,-1.451172531312504e-15,0.05999999999999999,-2.692187052026105e-15,0.05999999999999999,-3.129379530635685e-15,0.05999999999999999,-1.449991307639499e-15
0.06599999999999999,1.487238820756453e-08,0.06599999999999999,4.265499094504646e-07,0.06599999999999999,1.360879202854187e-08,0.06599999999999999,0.3286664364316926,0.06599999999999999,0.04345060281220543,0.06599999999999999,31.34370108352428,0.06599999999999999,28.68066021114263,0.06599999999999999,-1.451670299610033e-15,0.06599999999999999,-2.692188147576614e-15,0.06599999999999999,-3.129475545618213e-15,0.06599999999999999,-1.449989620588958e-15
0.07199999999999999,1.766263169557939e-08,0.07199999999999999,5.057467859715237e-07,0.07199999999999999,1.615757710578803e-08,0.07199999999999999,0.3286664364316926,0.07199999999999999,0.04345641128162575,0.07199999999999999,31.30090499709596,0.07199999999999999,28.63371653453354,0.07199999999999999,-1.452277174435118e-15,0.07199999999999999,-2.692189446092193e-15,0.07199999999999999,-3.129589342213701e-15,0.07199999999999999,-1.449987606502648e-15
0.078,2.097022829059032e-08,0.078,5.993958471393719e-07,0.078,1.917764913816027e-08,0.078,0.3286664364316926,0.078,0.04346329479664278,0.078,31.25491778586541,0.078,28.58318193207998,0.078,-1.453013998570285e-15,0.078,-2.692190985088806e-15,0.078,-3.129724204519493e-15,0.078,-1.449985202084839e-15
0.08400000000000001,2.488939224645662e-08,0.08400000000000001,7.100651210109941e-07,0.08400000000000001,2.2754451447761e-08,0.08400000000000001,0.3286664364316926,0.08400000000000001,0.04347144834799246,0.08400000000000001,31.20554774265338,0.08400000000000001,28.52882534139531,0.08400000000000001,-1.453905611288349e-15,0.08400000000000001,-2.692192808993323e-15,0.08400000000000001,-3.129884020513701e-15,0.08400000000000001,-1.44998233181395e-15
0.09000000000000001,2.953102680201485e-08,0.09000000000000001,8.407604558023967e-07,0.09000000000000001,2.698845025066059e-08,0.09000000000000001,0.3286664364316926,0.09000000000000001,0.0434811011512079,0.09000000000000001,31.15260224257662,0.09000000000000001,28.47041061843611,0.09000000000000001,-1.454981612077558e-15,0.09000000000000001,-2.692194970409169e-15,0.09000000000000001,-3.130073392198271e-15,0.09000000000000001,-1.449978905588649e-15
0.09600000000000002,3.502555609845776e-08,0.09600000000000002,9.949954315791453e-07,0.09600000000000002,3.199765074107654e-08,0.09600000000000002,0.3286664364316926,0.09600000000000002,0.04349252232824179,0.09600000000000002,31.09589012114048,0.09600000000000002,28.40769842483212,0.09600000000000002,-1.456277269486175e-15,0.09600000000000002,-2.692197531611086e-15,0.09600000000000002,-3.130297765495976e-15,0.09600000000000002,-1.449974815923643e-15
0.102,4.152620608514038e-08,0.102,1.176871303648947e-06,0.102,3.792050229448417e-08,0.102,0.3286664364316926,0.102,0.04350602744018645,0.102,31.03522454712135,0.102,28.3404485460644,0.102,-1.457834602291848e-15,0.102,-2.69220056630946e-15,0.102,-3.130563583310225e-15,0.102,-1.449969934610316e-15
0.108,4.92127981483729e-08,0.108,1.391168176172225e-06,0.108,4.491924510341046e-08,0.108,0.3286664364316926,0.108,0.04352198597252952,0.108,30.97042643903652,0.108,28.26842268123047,0.108,-1.459703665121851e-15,0.108,-2.692204161731337e-15,0.108,-3.130878465688296e-15,0.108,-1.449964108742031e-15
0.114,5.829612669621382e-08,0.114,1.643448708133612e-06,0.114,5.318375583274937e-08,0.114,0.3286664364316926,0.114,0.04354082987891888,0.114,30.90132846769752,0.114,28.19138773834958,0.114,-1.46194407636669e-15,0.114,-2.692208421072854e-15,0.114,-3.131251421618034e-15,0.114,-1.449957155986153e-15
0.12,6.902300007385284e-08,0.12,1.940175765028155e-06,0.12,6.293595534293881e-08,0.12,0.3286664364316926,0.12,0.04356306329159958,0.12,30.82777967627746,0.12,28.10911965788465,0.12,-1.464626832817033e-15,0.12,-2.692213466386387e-15,0.12,-3.131693097628396e-15,0.12,-1.449948858964482e-15
0.126,8.168203302339863e-08,0.126,2.288845551660222e-06,0.126,7.443484713375982e-08,0.126,0.3286664364316926,0.126,0.04358927350557763,0.126,30.74965073209802,0.126,28.02140777015858,0.126,-1.467836462960016e-15,0.126,-2.692219441975108e-15,0.126,-3.132216069040393e-15,0.126,-1.449938958580774e-15
0.132,9.661028851718572e-08,0.132,2.698137899102819e-06,0.132,8.798226086399763e-08,0.132,0.3286664364316926,0.132,0.04362014333797674,0.132,30.66683979937253,0.132,27.9280596682644,0.132,-1.47167357928709e-15,0.132,-2.692226518377905e-15,0.132,-3.132835180398202e-15,0.132,-1.449927146108542e-15
0.138,1.142008772971726e-07,0.138,3.178085538551301e-06,0.138,1.039293810633395e-07,0.138,0.3286664364316926,0.138,0.04365646495257267,0.138,30.57927898766592,0.138,27.8289065454675,0.138,-1.476257899180447e-15,0.138,-2.692234897038259e-15,0.138,-3.133567942251084e-15,0.138,-1.449913053824986e-15
0.144,1.349116349998393e-07,0.144,3.740264384454335e-06,0.144,1.22684146942893e-07,0.144,0.3286664364316926,0.144,0.04369915522048193,0.144,30.48694128504927,0.144,27.72380890357576,0.144,-1.481731813669703e-15,0.144,-2.692244815761277e-15,0.144,-3.134434991974908e-15,0.144,-1.449896243949072e-15
0.15,1.592750095421211e-07,0.15,4.398007077661735e-06,0.15,1.447196150117749e-07,0.15,0.3286664364316926,0.15,0.04374927265963753,0.15,30.38984782611464,0.15,27.6126624851101,0.15,-1.488264593001327e-15,0.15,-2.692256555072606e-15,0.15,-3.135460626591004e-15,0.15,-1.449876195615936e-15
0.1560000000000001,1.879093057462662e-07,0.1560000000000001,5.16664231443219e-06,0.1560000000000001,1.705833820099587e-07,0.1560000000000001,0.3286664364316926,0.1560000000000001,0.04380803595596008,0.1560000000000001,30.28807527177858,0.1560000000000001,27.49540421661141,0.1560000000000001,-1.496057326480628e-15,0.1560000000000001,-2.69227044559991e-15,0.1560000000000001,-3.136673415366087e-15,0.1560000000000001,-1.449852289600431e-15
0.1620000000000001,2.215314502871454e-07,0.1620000000000001,6.063762813614373e-06,0.1620000000000001,2.009081714588555e-07,0.1620000000000001,0.3286664364316926,0.1620000000000001,0.0438768440160355,0.1620000000000001,30.18176298944708,0.1620000000000001,27.37201787314996,0.1620000000000001,-1.505348699622363e-15,0.1620000000000001,-2.69228687659944e-15,0.1620000000000001,-3.138106899069449e-15,0.1620000000000001,-1.449823790497171e-15
0.1680000000000001,2.609714582579631e-07,0.1680000000000001,7.109525148936243e-06,0.1680000000000001,2.364236928655415e-07,0.1680000000000001,0.3286664364316926,0.1680000000000001,0.04395729743253707,0.1680000000000001,30.0711196190458,0.1680000000000001,27.24253908641673,0.1680000000000001,-1.516421711326047e-15,0.1680000000000001,-2.692306305743309e-15,0.1680000000000001,-3.13980038069538e-15,0.1680000000000001,-1.449789826084852e-15
0.1740000000000001,3.071888032147111e-07,0.1740000000000001,8.326985078574802e-06,0.1740000000000001,2.779698881665647e-07,0.1740000000000001,0.3286664364316926,0.1740000000000001,0.04405122115785426,0.1740000000000001,29.95642849481998,0.1740000000000001,27.10705922388294,0.1740000000000001,-1.529611422908053e-15,0.1740000000000001,-2.692329270261686e-15,0.1740000000000001,-3.141799808614591e-15,0.1740000000000001,-1.449749363667766e-15
0.1800000000000001,3.612909155516034e-07,0.1800000000000001,9.742472399260993e-06,0.1800000000000001,3.265116850741421e-07,0.1800000000000001,0.3286664364316926,0.1800000000000001,0.04416068807707306,0.1800000000000001,29.83805126927919,0.1800000000000001,26.96572757012349,0.1800000000000001,-1.545313802233902e-15,0.1800000000000001,-2.692356399490096e-15,0.1800000000000001,-3.144158746633303e-15,0.1800000000000001,-1.449701183325941e-15
0.1860000000000001,4.245540592115896e-07,0.1860000000000001,1.138600966169472e-05,0.1860000000000001,3.831553810263207e-07,0.1860000000000001,0.3286664364316926,0.1860000000000001,0.04428804304809639,0.1860000000000001,29.71642896204703,0.1860000000000001,26.81875115241211,0.1860000000000001,-1.56399566933606e-15,0.1860000000000001,-2.692388428793848e-15,0.1860000000000001,-3.146939415132205e-15,0.1860000000000001,-1.449643848259341e-15
0.1920000000000001,4.984468631922295e-07,0.1920000000000001,1.329177918471393e-05,0.1920000000000001,4.49166783454294e-07,0.1920000000000001,0.3286664364316926,0.1920000000000001,0.0444359268349337,0.1920000000000001,29.59207954447162,0.1920000000000001,26.66639148377564,0.1920000000000001,-1.586205649742447e-15,0.1920000000000001,-2.692426214713473e-15,0.1920000000000001,-3.150213771782891e-15,0.1920000000000001,-1.449575672840811e-15
0.1980000000000001,5.846568102921739e-07,0.1980000000000001,1.549864251241642e-05,0.1980000000000001,5.259912304707454e-07,0.1980000000000001,0.3286664364316926,0.1980000000000001,0.04460729920234315,0.1980000000000001,29.4655910870332,0.1980000000000001,26.50895746460788,0.1980000000000001,-1.612585877919383e-15,0.1980000000000001,-2.692470750976622e-15,0.1980000000000001,-3.154064577384272e-15,0.1980000000000001,-1.449494689677439e-15
0.2040000000000001,6.851200079571575e-07,0.2040000000000001,1.805071551278497e-05,0.2040000000000001,6.152756084734077e-07,0.2040000000000001,0.3286664364316926,0.2040000000000001,0.04480546027037003,0.2040000000000001,29.33760946183376,0.2040000000000001,26.34679370932551,0.2040000000000001,-1.643883940004777e-15,0.2040000000000001,-2.692523184728766e-15,0.2040000000000001,-3.158586359973161e-15,0.2040000000000001,-1.449398618021629e-15
0.2100000000000001,8.020545800380524e-07,0.2100000000000001,2.099800038084945e-05,0.2100000000000001,7.188924662310742e-07,0.2100000000000001,0.3286664364316926,0.2100000000000001,0.04503406905280297,0.2100000000000001,29.20881963186417,0.2100000000000001,26.1802636708689,0.2100000000000001,-1.680964173110546e-15,0.2100000000000001,-2.692584831921146e-15,0.2100000000000001,-3.163886146512502e-15,0.2100000000000001,-1.449284837384581e-15
0.2160000000000001,9.379980166291884e-07,0.2160000000000001,2.439707247411633e-05,0.2160000000000001,8.389662944760373e-07,0.2160000000000001,0.3286664364316926,0.2160000000000001,0.04529715793386024,0.2160000000000001,29.07991969969797,0.2160000000000001,26.00972714712727,0.2160000000000001,-1.724816920746197e-15,0.2160000000000001,-2.692657190238821e-15,0.2160000000000001,-3.170083775016848e-15,0.2160000000000001,-1.449150372287317e-15
0.2220000000000001,1.095848792156742e-06,0.2220000000000001,2.831181471607639e-05,0.2220000000000001,9.779019907331576e-07,0.2220000000000001,0.3286664364316926,0.2220000000000001,0.04559914168539614,0.2220000000000001,28.95158715736974,0.2220000000000001,25.83551209039658,0.2220000000000001,-1.776563667146675e-15,0.2220000000000001,-2.692741947250409e-15,0.2220000000000001,-3.177311532089981e-15,0.2220000000000001,-1.448991896777911e-15
0.2280000000000001,1.278912497017787e-06,0.2280000000000001,3.281418480324812e-05,0.2280000000000001,1.138415455554669e-06,0.2280000000000001,0.3286664364316926,0.2280000000000001,0.04594481950834549,0.2280000000000001,28.8244371974554,0.2280000000000001,25.65788111593313,0.2280000000000001,-1.837455158880754e-15,0.2280000000000001,-2.692840980647597e-15,0.2280000000000001,-3.18571278711455e-15,0.2280000000000001,-1.448805770541051e-15
0.2340000000000001,1.490952610322538e-06,0.2340000000000001,3.798499028007477e-05,0.2340000000000001,1.323566163473047e-06,0.2340000000000001,0.3286664364316926,0.2340000000000001,0.04633936851542835,0.2340000000000001,28.69897352195971,0.2340000000000001,25.47699371528136,0.2340000000000001,-1.908858756641437e-15,0.2340000000000001,-2.692956346615546e-15,0.2340000000000001,-3.195439227631942e-15,0.2340000000000001,-1.448588121747956e-15
0.2400000000000001,1.736245854040229e-06,0.2400000000000001,4.391463354981164e-05,0.2400000000000001,1.536791416655584e-06,0.2400000000000001,0.3286664364316926,0.2400000000000001,0.04678832707726575,0.2400000000000001,28.5755328106791,0.2400000000000001,25.29286589828083,0.2400000000000001,-1.99223053213005e-15,0.2400000000000001,-2.693090251730803e-15,0.2400000000000001,-3.206646263910404e-15,0.2400000000000001,-1.448334994439248e-15
0.2460000000000001,2.019641795531699e-06,0.2460000000000001,5.070377326954261e-05,0.2460000000000001,1.781941821971574e-06,0.2460000000000001,0.3286664364316926,0.2460000000000001,0.04729756655113103,0.2460000000000001,28.45422484862216,0.2460000000000001,25.10532975925405,0.2460000000000001,-2.089067355194739e-15,0.2460000000000001,-2.693245003636441e-15,0.2460000000000001,-3.219486199208446e-15,0.2460000000000001,-1.44804257885849e-15
0.2520000000000001,2.346625992184463e-06,0.2520000000000001,5.846383104988061e-05,0.2520000000000001,2.063317339384986e-06,0.2520000000000001,0.3286664364316926,0.2520000000000001,0.04787325011879021,0.2520000000000001,28.33487119693713,0.2520000000000001,24.91399620025849,0.2520000000000001,-2.200834855344576e-15,0.2520000000000001,-2.693422936517384e-15,0.2520000000000001,-3.234098899830659e-15,0.2520000000000001,-1.447707539898196e-15
0.2580000000000001,2.723385490973421e-06,0.2580000000000001,6.731725431794152e-05,0.2580000000000001,2.385703045744526e-06,0.2580000000000001,0.3286664364316926,0.2580000000000001,0.04852177779086323,0.2580000000000001,28.21694612748138,0.2580000000000001,24.71822463028872,0.2580000000000001,-2.328869196672167e-15,0.2580000000000001,-2.693626309544144e-15,0.2580000000000001,-3.250599988749107e-15,0.2580000000000001,-1.447327449621746e-15
0.2640000000000001,3.156874910021918e-06,0.2640000000000001,7.739742971823877e-05,0.2640000000000001,2.754403567283134e-06,0.2640000000000001,0.3286664364316926,0.2640000000000001,0.04924971709632224,0.2640000000000001,28.09952420827766,0.2640000000000001,24.5171037583137,0.2640000000000001,-2.474254461841225e-15,0.2640000000000001,-2.693857180280402e-15,0.2640000000000001,-3.269067050174068e-15,0.2640000000000001,-1.446901313180183e-15
0.2700000000000001,3.654880656260029e-06,0.2700000000000001,8.884812934368905e-05,0.2700000000000001,3.175274990457907e-06,0.2700000000000001,0.3286664364316926,0.2700000000000001,0.05006371956313874,0.2700000000000001,27.98123929760057,0.2700000000000001,24.30944747656081,0.2700000000000001,-2.637683080639911e-15,0.2700000000000001,-2.694117260472195e-15,0.2700000000000001,-3.289524942548963e-15,0.2700000000000001,-1.446430153593709e-15
0.2760000000000001,4.226080109359138e-06,0.2760000000000001,0.0001018223677566082,0.2760000000000001,3.65475300610204e-06,0.2760000000000001,0.3286664364316926,0.2760000000000001,0.05097042379328495,0.2760000000000001,27.86025966367735,0.2760000000000001,24.09380918592827,0.2760000000000001,-2.819313430391226e-15,0.2760000000000001,-2.694407767911653e-15,0.2760000000000001,-3.311931971074183e-15,0.2760000000000001,-1.445917593075068e-15
0.2820000000000001,4.880091884328957e-06,0.2820000000000001,0.0001164805546764952,0.2820000000000001,4.199876121397993e-06,0.2820000000000001,0.3286664364316926,0.2820000000000001,0.05197634671165217,0.2820000000000001,27.73428341922686,0.2820000000000001,23.86851670831278,0.2820000000000001,-3.018644877601283e-15,0.2820000000000001,-2.694729293694634e-15,0.2820000000000001,-3.336169183995252e-15,0.2820000000000001,-1.445370343730982e-15
0.2880000000000001,5.627512650653398e-06,0.2880000000000001,0.0001329878494686057,0.2880000000000001,4.81830302871746e-06,0.2880000000000001,0.3286664364316926,0.2880000000000001,0.05308776537925985,0.2880000000000001,27.6005574319398,0.2880000000000001,23.63172821225911,0.2880000000000001,-3.234433867236296e-15,0.2880000000000001,-2.695081707144623e-15,0.2880000000000001,-3.362035199662308e-15,0.2880000000000001,-1.444798508133164e-15
0.2940000000000002,6.479935527383021e-06,0.2940000000000002,0.0001515106611586524,0.2940000000000002,5.518323676484579e-06,0.2940000000000002,0.3286664364316926,0.2940000000000002,0.05431059254950602,0.2940000000000002,27.45592140676523,0.2940000000000002,23.38150750436526,0.2940000000000002,-3.464673002703126e-15,0.2940000000000002,-2.695464119064012e-15,0.2940000000000002,-3.389248550675935e-15,0.2940000000000002,-1.444215599518321e-15
0.3000000000000002,7.449944890823392e-06,0.3000000000000002,0.0001722122918100326,0.3000000000000002,6.308864246820728e-06,0.3000000000000002,0.3286664364316926,0.3000000000000002,0.05565024984674566,0.3000000000000002,27.29687707210007,0.3000000000000002,23.11591486063003,0.3000000000000002,-3.70664731427746e-15,0.3000000000000002,-2.695874916949424e-15,0.3000000000000002,-3.417458497098372e-15,0.3000000000000002,-1.443638226471074e-15
0.3060000000000002,8.551082618165085e-06,0.3060000000000002,0.0001952477895285003,0.3060000000000002,7.199487076508243e-06,0.3060000000000002,0.3286664364316926,0.3060000000000002,0.05711154299160204,0.3060000000000002,27.11968053468548,0.3060000000000002,22.83310760164209,0.3060000000000002,-3.957069017842252e-15,0.3060000000000002,-2.696311874287253e-15,0.3060000000000002,-3.446263780704158e-15,0.3060000000000002,-1.443085443426513e-15
