PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:gds X,PM0:gds Y
0,0,0,-0.2,0,-0.253895118075244,0,-0.03688301481448581,0,32.12546887144993,0,502.6463441403823,0,1.417980861366296e-08,0,-3.082614049340302e-15,0,-4.41388407910926e-10,0,-8.833048224533302e-15,0,-3.100017908473447e-15,0,-7.995232187847933e-15,0,2.821030885624572e-11
0.008,-0.008000000000000007,0.008,-0.2,0.008,-0.253895118075244,0.008,-0.03688985843573074,0.008,32.03474645719594,0.008,501.2018277493907,0.008,1.827691212323938e-08,0.008,-3.085231797048766e-15,0.008,-5.705340321606882e-10,0.008,-8.834073101082744e-15,0.008,-3.100023281766635e-15,0.008,-7.995243879501975e-15,0.008,3.646617213131581e-11
0.016,-0.01600000000000001,0.016,-0.2,0.016,-0.253895118075244,0.016,-0.0368986708345868,0.016,31.93341799413547,0.016,499.584328022018,0.016,2.353175054049645e-08,0.016,-3.089182430339986e-15,0.016,-7.369004935227295e-10,0.016,-8.835401110212904e-15,0.016,-3.100030266597929e-15,0.016,-7.995259029658825e-15,0.016,4.710265959235484e-11
0.024,-0.02400000000000002,0.024,-0.2,0.024,-0.253895118075244,0.024,-0.03691000378081258,0.024,31.82048133064346,0.024,497.7762561379198,0.024,3.026014114979133e-08,0.024,-3.094862450950482e-15,0.024,-9.509643104165838e-10,0.024,-8.837121806889667e-15,0.024,-3.100039346035846e-15,0.024,-7.995278660348415e-15,0.024,6.079064796012908e-11
0.032,-0.03200000000000003,0.032,-0.2,0.032,-0.253895118075244,0.032,-0.03692455710061378,0.032,31.69491456409564,0.032,495.759227490156,0.032,3.885931482590965e-08,0.032,-3.102787630951004e-15,0.032,-1.226042609440079e-09,0.032,-8.8393511502994e-15,0.032,-3.100051147836019e-15,0.032,-7.99530409512479e-15,0.032,7.838344234688251e-11
0.04,-0.04000000000000004,0.04,-0.2,0.04,-0.253895118075244,0.04,-0.03694321549067364,0.04,31.55569907959524,0.04,493.5143110420825,0.04,4.982703279944702e-08,0.04,-3.113628742676052e-15,0.04,-1.579018534873986e-09,0.04,-8.842239257831479e-15,0.04,-3.100066487716359e-15,0.04,-7.995337047743702e-15,0.04,1.009637039587251e-10
0.048,-0.04800000000000004,0.048,-0.2,0.048,-0.253895118075244,0.048,-0.03696709322197596,0.048,31.40184942450644,0.048,491.0223654151403,0.048,6.378451885915917e-08,0.048,-3.128257922686063e-15,0.048,-2.0312344957936e-09,0.048,-8.845980416531911e-15,0.048,-3.100086425539043e-15,0.048,-7.995379736746996e-15,0.048,1.299014532774527e-10
0.056,-0.05600000000000005,0.056,-0.2,0.056,-0.253895118075244,0.056,-0.03699758788505338,0.056,31.23245058301785,0.056,488.2644688248682,0.056,8.150376412685894e-08,0.056,-3.147808788571628e-15,0.056,-2.609585976254054e-09,0.056,-8.850825996314561e-15,0.056,-3.100112338225377e-15,0.056,-7.995435033409626e-15,0.056,1.669254457999337e-10
0.064,-0.06400000000000006,0.064,-0.2,0.064,-0.253895118075244,0.064,-0.03703644425986236,0.064,31.0467027547744,0.064,485.2224433071048,0.064,1.039398040122772e-07,0.064,-3.173754310753199e-15,0.064,-3.347853256638083e-09,0.064,-8.857101084331822e-15,0.064,-3.100146014347881e-15,0.064,-7.995506652574473e-15,0.064,2.142106274059793e-10
0.07200000000000001,-0.07200000000000006,0.07200000000000001,-0.2,0.07200000000000001,-0.253895118075244,0.07200000000000001,-0.03708582919678172,0.07200000000000001,30.84397300166466,0.07200000000000001,481.879463020332,0.07200000000000001,1.322686217523593e-07,0.07200000000000001,-3.208007553023418e-15,0.07200000000000001,-4.288313397642603e-09,0.07200000000000001,-8.865225876548138e-15,0.07200000000000001,-3.100189776778762e-15,0.07200000000000001,-7.995599398492369e-15,0.07200000000000001,2.744848699783216e-10
0.08000000000000002,-0.08000000000000007,0.08000000000000002,-0.2,0.08000000000000002,-0.253895118075244,0.08000000000000002,-0.03714841801903921,0.08000000000000002,30.62385204323012,0.08000000000000002,478.2207206001301,0.08000000000000002,1.679314156921746e-07,0.08000000000000002,-3.2530517784686e-15,0.08000000000000002,-5.483680379458668e-09,0.08000000000000002,-8.875743126189438e-15,0.08000000000000002,-3.100246641606595e-15,0.08000000000000002,-7.99571948099352e-15,0.08000000000000002,3.511588027416161e-10
0.08800000000000002,-0.08800000000000008,0.08800000000000002,-0.2,0.08800000000000002,-0.253895118075244,0.08800000000000002,-0.03722749234910012,0.08800000000000002,30.38621301235413,0.08800000000000002,474.2341041385037,0.08800000000000002,2.126860993398315e-07,0.08800000000000002,-3.312108110100021e-15,0.08800000000000002,-6.99942767290882e-09,0.08800000000000002,-8.889353261952786e-15,0.08800000000000002,-3.100320523862172e-15,0.08800000000000002,-7.995874921226045e-15,0.08800000000000002,4.484833492230557e-10
0.09600000000000003,-0.09600000000000009,0.09600000000000003,-0.2,0.09600000000000003,-0.253895118075244,0.09600000000000003,-0.03732704836847635,0.09600000000000003,30.13126713902719,0.09600000000000003,469.9108103485998,0.09600000000000003,2.686671067484171e-07,0.09600000000000003,-3.389350958812667e-15,0.09600000000000003,-8.916555231315592e-09,0.09600000000000003,-8.906959147656296e-15,0.09600000000000003,-3.100416503532127e-15,0.09600000000000003,-7.996076070849288e-15,0.09600000000000003,5.717406385035245e-10
0.104,-0.1040000000000001,0.104,-0.2,0.104,-0.253895118075244,0.104,-0.03745191330349189,0.104,29.859609213636,0.104,465.2457886193669,0.104,3.384548645587884e-07,0.104,-3.490183763227095e-15,0.104,-1.133487257035096e-08,0.104,-8.929722842231294e-15,0.104,-3.100541169008442e-15,0.104,-7.996336273913177e-15,0.104,7.274753965278546e-10
0.112,-0.1120000000000001,0.112,-0.2,0.112,-0.253895118075244,0.112,-0.03760786637539858,0.112,29.57224353664567,0.112,460.2378798093976,0.112,4.25156651991177e-07,0.112,-3.621590116559717e-15,0.112,-1.437688190056083e-08,0.112,-8.959137093081118e-15,0.112,-3.100703059642427e-15,0.112,-7.996672706448741e-15,0.112,9.23775879045964e-10
0.1200000000000001,-0.1200000000000001,0.1200000000000001,-0.2,0.1200000000000001,-0.253895118075244,0.1200000000000001,-0.03780175859561087,0.1200000000000001,29.27057932215351,0.1200000000000001,454.8894898659422,0.1200000000000001,5.325009311273611e-07,0.1200000000000001,-3.792577807396935e-15,0.1200000000000001,-1.819236053128831e-08,0.1200000000000001,-8.997114572448902e-15,0.1200000000000001,-3.100913234533375e-15,0.1200000000000001,-7.997107434448462e-15,0.1200000000000001,1.170616035301874e-09
0.1280000000000001,-0.1280000000000001,0.1280000000000001,-0.2,0.1280000000000001,-0.253895118075244,0.1280000000000001,-0.03804162372485836,0.1280000000000001,28.95638383594052,0.1280000000000001,449.205632282715,0.1280000000000001,6.649474310202147e-07,0.1280000000000001,-4.01473509389336e-15,0.1280000000000001,-2.296375941275416e-08,0.1280000000000001,-9.046097888719534e-15,0.1280000000000001,-3.101186001094833e-15,0.1280000000000001,-7.997668735220662e-15,0.1280000000000001,1.480274028714135e-09
0.1360000000000001,-0.1360000000000001,0.1360000000000001,-0.2,0.1360000000000001,-0.253895118075244,0.1360000000000001,-0.0383367706323887,0.1360000000000001,28.63168274407854,0.1360000000000001,443.1921988399894,0.1360000000000001,8.27815026819645e-07,0.1360000000000001,-4.302918558737415e-15,0.1360000000000001,-2.89125524008185e-08,0.1360000000000001,-9.109192898081315e-15,0.1360000000000001,-3.101539844145165e-15,0.1360000000000001,-7.998392727818208e-15,0.1360000000000001,1.867846566312238e-09
0.1440000000000001,-0.1440000000000001,0.1440000000000001,-0.2,0.1440000000000001,-0.253895118075244,0.1440000000000001,-0.03869784546149727,0.1440000000000001,28.29860110819316,0.1440000000000001,436.8533895984159,0.1440000000000001,1.027428352683233e-06,0.1440000000000001,-4.676088171585715e-15,0.1440000000000001,-3.630668348542876e-08,0.1440000000000001,-9.19032634960621e-15,0.1440000000000001,-3.101998603781918e-15,0.1440000000000001,-7.999325351455203e-15,0.1440000000000001,2.351883668861336e-09
0.1520000000000001,-0.1520000000000001,0.1520000000000001,-0.2,0.1520000000000001,-0.253895118075244,0.1520000000000001,-0.03913685078792757,0.1520000000000001,27.95914585881856,0.1520000000000001,430.1883619278806,0.1520000000000001,1.271281613733044e-06,0.1520000000000001,-5.158294330834505e-15,0.1520000000000001,-4.546925792993873e-08,0.1520000000000001,-9.294425694280188e-15,0.1520000000000001,-3.102592957070747e-15,0.1520000000000001,-8.000524710074734e-15,0.1520000000000001,2.955174352081076e-09
0.1600000000000001,-0.1600000000000001,0.1600000000000001,-0.2,0.1600000000000001,-0.253895118075244,0.1600000000000001,-0.03966710874881091,0.1600000000000001,27.61494146917573,0.1600000000000001,423.1873446226573,0.1600000000000001,1.568213726813765e-06,0.1600000000000001,-5.779798178998115e-15,0.1600000000000001,-5.678859502115777e-08,0.1600000000000001,-9.427612895096726e-15,0.1600000000000001,-3.10336226261284e-15,0.1600000000000001,-8.002063756423095e-15,0.1600000000000001,3.705719811191638e-09
0.1680000000000001,-0.1680000000000001,0.1680000000000001,-0.2,0.1680000000000001,-0.253895118075244,0.1680000000000001,-0.04030315631001948,0.1680000000000001,27.26694393029478,0.1680000000000001,415.8276885452984,0.1680000000000001,1.928582456083874e-06,0.1680000000000001,-6.578262053351497e-15,0.1680000000000001,-7.072968873285171e-08,0.1680000000000001,-9.597393811439347e-15,0.1680000000000001,-3.104356824877138e-15,0.1680000000000001,-8.004033205467363e-15,0.1680000000000001,4.637936600207379e-09
0.1760000000000001,-0.1760000000000002,0.1760000000000001,-0.2,0.1760000000000001,-0.253895118075244,0.1760000000000001,-0.04106056371096099,0.1760000000000001,26.91517158558258,0.1760000000000001,408.0705461596662,0.1760000000000001,2.3644168495639e-06,0.1760000000000001,-7.599870104350592e-15,0.1760000000000001,-8.784699153179747e-08,0.1760000000000001,-9.812808451641899e-15,0.1760000000000001,-3.105640621193336e-15,0.1760000000000001,-8.00654442572859e-15,0.1760000000000001,5.794137488763455e-09
0.1840000000000001,-0.1840000000000002,0.1840000000000001,-0.2,0.1840000000000001,-0.253895118075244,0.1840000000000001,-0.0419556717631562,0.1840000000000001,26.55850117562256,0.1840000000000001,399.8590216338206,0.1840000000000001,2.889518026168993e-06,0.1840000000000001,-8.900116890176045e-15,0.1840000000000001,-1.08798234051038e-07,0.1840000000000001,-1.008448365933639e-14,0.1840000000000001,-3.107294500198179e-15,0.1840000000000001,-8.009731838211426e-15,0.1840000000000001,7.226341960129964e-09
0.1920000000000001,-0.1920000000000002,0.1920000000000001,-0.2,0.1920000000000001,-0.253895118075244,0.1920000000000001,-0.04300524988754884,0.1920000000000001,26.1945792261064,0.1920000000000001,391.1186333698799,0.1920000000000001,3.51947011588272e-06,0.1920000000000001,-1.054382573235146e-14,0.1920000000000001,-1.343587192706479e-07,0.1920000000000001,-1.042449897497314e-14,0.1920000000000001,-3.109419795377004e-15,0.1920000000000001,-8.013754046418776e-15,0.1920000000000001,8.998472114608678e-09
0.2000000000000001,-0.2000000000000002,0.2000000000000001,-0.2,0.2000000000000001,-0.253895118075244,0.2000000000000001,-0.04422608404261667,0.2000000000000001,25.81988918266318,0.2000000000000001,381.7607205042029,0.2000000000000001,4.271518596759508e-06,0.2000000000000001,-1.260374013967052e-14,0.2000000000000001,-1.654352025796866e-07,0.2000000000000001,-1.084594355489629e-14,0.2000000000000001,-3.112142189472554e-15,0.2000000000000001,-8.018792552437414e-15,0.2000000000000001,1.118899448617444e-08
0.2080000000000001,-0.2080000000000002,0.2080000000000001,-0.2,0.2080000000000001,-0.253895118075244,0.2080000000000001,-0.0456345112215811,0.2080000000000001,25.42999260577844,0.2080000000000001,371.6889924243373,0.2080000000000001,5.164275343282598e-06,0.2080000000000001,-1.51568297814972e-14,0.2080000000000001,-2.030781299895891e-07,0.2080000000000001,-1.136202136902064e-14,0.2080000000000001,-3.115615508209524e-15,0.2080000000000001,-8.025046584546117e-15,0.2080000000000001,1.389407663003058e-08
0.2160000000000001,-0.2160000000000002,0.2160000000000001,-0.2,0.2160000000000001,-0.253895118075244,0.2160000000000001,-0.0472459239964785,0.2160000000000001,25.01993144351781,0.2160000000000001,360.8088281959239,0.2160000000000001,6.217220753044577e-06,0.2160000000000001,-1.827741013959016e-14,0.2160000000000001,-2.484907190019998e-07,0.2160000000000001,-1.198458104083863e-14,0.2160000000000001,-3.120024924736924e-15,0.2160000000000001,-8.032722497317138e-15,0.2160000000000001,1.723134321333331e-08
0.2240000000000001,-0.2240000000000002,0.2240000000000001,-0.2,0.2240000000000001,-0.253895118075244,0.2240000000000001,-0.04907427365470301,0.2240000000000001,24.5847450268839,0.2240000000000001,349.0383167642267,0.2240000000000001,7.449994115286163e-06,0.2240000000000001,-2.202653247686526e-14,0.2240000000000001,-3.030332064807893e-07,0.2240000000000001,-1.272204465688212e-14,0.2240000000000001,-3.125588862579076e-15,0.2240000000000001,-8.04201676655964e-15,0.2240000000000001,2.134434461050472e-08
0.2320000000000002,-0.2320000000000002,0.2320000000000002,-0.2,0.2320000000000002,-0.253895118075244,0.2320000000000002,-0.05113160297087987,0.2320000000000002,24.12002917190528,0.2320000000000002,336.3195612092339,0.2320000000000002,8.881492301623877e-06,0.2320000000000002,-2.643812011653748e-14,0.2320000000000002,-3.682206285504151e-07,0.2320000000000002,-1.357691855759984e-14,0.2320000000000002,-3.132558785554229e-15,0.2320000000000002,-8.053093162868168e-15,0.2320000000000002,2.640789691117148e-08
0.2400000000000002,-0.2400000000000002,0.2400000000000002,-0.2,0.2400000000000002,-0.253895118075244,0.2400000000000002,-0.05342763908101524,0.2400000000000002,23.62245359799514,0.2400000000000002,322.628598355902,0.2400000000000002,1.052882966921535e-05,0.2400000000000002,-3.150405470546673e-14,0.2400000000000002,-4.457127887343479e-07,0.2400000000000002,-1.454337131387349e-14,0.2400000000000002,-3.141216187815578e-15,0.2400000000000002,-8.066057297320114e-15,0.2400000000000002,3.263452069304983e-08
0.2480000000000002,-0.2480000000000002,0.2480000000000002,-0.2,0.2480000000000002,-0.253895118075244,0.2480000000000002,-0.05596947321454576,0.2480000000000002,23.09016134688912,0.2480000000000002,307.9824707095383,0.2480000000000002,1.240624254338206e-05,0.2480000000000002,-3.716233943104468e-14,0.2480000000000002,-5.372956194493059e-07,0.2480000000000002,-1.560564545346969e-14,0.2480000000000002,-3.151866557331098e-15,0.2480000000000002,-8.080934648609219e-15,0.2480000000000002,4.02823008556306e-08
0.2560000000000002,-0.2560000000000002,0.2560000000000002,-0.2,0.2560000000000002,-0.253895118075244,0.2560000000000002,-0.05876134758755323,0.2560000000000002,22.52299768444833,0.2560000000000002,292.4424809241822,0.2560000000000002,1.452404294946674e-05,0.2560000000000002,-4.329339425902058e-14,0.2560000000000002,-6.448539023807546e-07,0.2560000000000002,-1.673812282240956e-14,0.2560000000000002,-3.164830869549834e-15,0.2560000000000002,-8.097659730472081e-15,0.2560000000000002,4.966461405869487e-08
0.2640000000000002,-0.2640000000000002,0.2640000000000002,-0.2,0.2640000000000002,-0.253895118075244,0.2640000000000002,-0.06180456134859419,0.2640000000000002,21.92254889850451,0.2640000000000002,276.1133184263941,0.2640000000000002,1.688773274451556e-05,0.2640000000000002,-4.972817426549465e-14,0.2640000000000002,-7.703361877921227e-07,0.2640000000000002,-1.790750766132166e-14,0.2640000000000002,-3.180436050226891e-15,0.2640000000000002,-8.116082424507589e-15,0.2640000000000002,6.116232581883755e-08
0.2720000000000002,-0.2720000000000002,0.2720000000000002,-0.2,0.2720000000000002,-0.253895118075244,0.2720000000000002,-0.06509749812707323,0.2720000000000002,21.2920043615038,0.2720000000000002,259.1383975778651,0.2720000000000002,1.949737816412544e-05,0.2720000000000002,-5.626795384328287e-14,0.2720000000000002,-9.157136093773863e-07,0.2720000000000002,-1.907686637511265e-14,0.2720000000000002,-3.199006432033118e-15,0.2720000000000002,-8.13599233440726e-15,0.2720000000000002,7.523924800942294e-08
0.2800000000000002,-0.2800000000000002,0.2800000000000002,-0.2,0.2800000000000002,-0.253895118075244,0.2800000000000002,-0.06863576856852062,0.2800000000000002,20.63588050292387,0.2800000000000002,241.6922401306076,0.2800000000000002,2.234731705179863e-05,0.2800000000000002,-6.2710977080066e-14,0.2800000000000002,-1.082934990306773e-06,0.2800000000000002,-2.021051000133211e-14,0.2800000000000002,-3.220858170357368e-15,0.2800000000000002,-8.157155469916585e-15,0.2800000000000002,9.246187233699522e-08
0.2880000000000002,-0.2880000000000003,0.2880000000000002,-0.2,0.2880000000000002,-0.253895118075244,0.2880000000000002,-0.07241245326223601,0.2880000000000002,19.95965881996911,0.2880000000000002,223.9709953395933,0.2880000000000002,2.542623135997665e-05,0.2880000000000002,-6.887843957003968e-14,0.2880000000000002,-1.273881061289757e-06,0.2880000000000002,-2.127836953885615e-14,0.2880000000000002,-3.246297837827697e-15,0.2880000000000002,-8.179353236185197e-15,0.2880000000000002,1.135246611795623e-07
0.2960000000000002,-0.2960000000000003,0.2960000000000002,-0.2,0.2960000000000002,-0.253895118075244,0.2960000000000002,-0.07641842544796307,0.2960000000000002,19.2693916169836,0.2960000000000002,206.1822195520022,0.2960000000000002,2.87175731070177e-05,0.2960000000000002,-7.46330490010401e-14,0.2960000000000002,-1.490320695038107e-06,0.2960000000000002,-2.225879303301661e-14,0.2960000000000002,-3.275625313865183e-15,0.2960000000000002,-8.202413928495303e-15,0.2960000000000002,1.392824908443412e-07
0.3040000000000002,-0.3040000000000003,0.3040000000000002,-0.2,0.3040000000000002,-0.253895118075244,0.3040000000000002,-0.08064272928192037,0.3040000000000002,18.5713215915388,0.3040000000000002,188.5348897657335,0.3040000000000002,3.220029074860788e-05,0.3040000000000002,-7.988695369255216e-14,0.3040000000000002,-1.733871797461348e-06,0.3040000000000002,-2.313938049459315e-14,0.3040000000000002,-3.309140112731395e-15,0.3040000000000002,-8.22623106059825e-15,0.3040000000000002,1.707922113971519e-07
0.3120000000000002,-0.3120000000000003,0.3120000000000002,-0.2,0.3120000000000002,-0.253895118075244,0.3120000000000002,-0.08507298834506272,0.3120000000000002,17.87154871319459,0.3120000000000002,171.2303817794351,0.3120000000000002,3.584977159050112e-05,0.3120000000000002,-8.459983458497056e-14,0.3120000000000002,-2.005968937910727e-06,0.3120000000000002,-2.391615328880153e-14,0.3120000000000002,-3.347149791056532e-15,0.3120000000000002,-8.250768103589737e-15,0.3120000000000002,2.093657166324598e-07
0.3200000000000002,-0.3200000000000003,0.3200000000000002,-0.2,0.3200000000000002,-0.253895118075244,0.3200000000000002,-0.08969582026620584,0.3200000000000002,17.17576388860412,0.3200000000000002,154.4548769935641,0.3200000000000002,3.963889855476865e-05,0.3200000000000002,-8.877047759973057e-14,0.3200000000000002,-2.307839046481869e-06,0.3200000000000002,-2.459172583124602e-14,0.3200000000000002,-3.389979087146331e-15,0.3200000000000002,-8.276052972504794e-15,0.3200000000000002,2.566374032748758e-07
0.3280000000000002,-0.3280000000000003,0.3280000000000002,-0.2,0.3280000000000002,-0.253895118075244,0.3280000000000002,-0.09449723634425995,0.3280000000000002,16.48905643067345,0.3280000000000002,138.373424632452,0.3280000000000002,4.353911728073174e-05,0.3280000000000002,-9.242565719048377e-14,0.3280000000000002,-2.640485673893621e-06,0.3280000000000002,-2.517316614751937e-14,0.3280000000000002,-3.43797878931079e-15,0.3280000000000002,-8.30216691357075e-15,0.3280000000000002,3.146494162183274e-07
0.3360000000000002,-0.3360000000000003,0.3360000000000002,-0.2,0.3360000000000002,-0.253895118075244,0.3360000000000002,-0.09946300928172193,0.3360000000000002,15.81579282671488,0.3360000000000002,123.1257042526338,0.3360000000000002,4.752142031578909e-05,0.3360000000000002,-9.56092975803024e-14,0.3360000000000002,-3.004681512771498e-06,0.3360000000000002,-2.567003565692108e-14,0.3360000000000002,-3.49153377461159e-15,0.3360000000000002,-8.329231857569413e-15,0.3360000000000002,3.859585665254991e-07
0.3440000000000003,-0.3440000000000003,0.3440000000000003,-0.2,0.3440000000000003,-0.253895118075244,0.3440000000000003,-0.1045789969517339,0.3440000000000003,15.15955812815466,0.3440000000000003,108.8234115305639,0.3440000000000003,5.155717525414474e-05,0.3440000000000003,-9.837356553762712e-14,0.3440000000000003,-3.400968208884501e-06,0.3440000000000003,-2.609285307482825e-14,0.3440000000000003,-3.551070036934208e-15,0.3440000000000003,-8.357398887851476e-15,0.3440000000000003,4.737691506727348e-07
0.3520000000000003,-0.3520000000000003,0.3520000000000003,-0.2,0.3520000000000003,-0.253895118075244,0.3520000000000003,-0.1098314149388737,0.3520000000000003,14.52314815040973,0.3520000000000003,95.54911943654773,0.3520000000000003,5.561874864728281e-05,0.3520000000000003,-1.007724281006919e-13,0.3520000000000003,-3.829662003836328e-06,0.3520000000000003,-2.645203473903414e-14,0.3520000000000003,-3.617060767799719e-15,0.3520000000000003,-8.386839070786749e-15,0.3520000000000003,5.820958788031334e-07
0.3600000000000003,-0.3600000000000003,0.3600000000000003,-0.2,0.3600000000000003,-0.253895118075244,0.3600000000000003,-0.1152070549716395,0.3600000000000003,13.90859991692951,0.3600000000000003,83.35643213635902,0.3600000000000003,5.967990328833743e-05,0.3600000000000003,-1.028575116684106e-13,0.3600000000000003,-4.290863469018497e-06,0.3600000000000003,-2.675725310483432e-14,0.3600000000000003,-3.690031669933582e-15,0.3600000000000003,-8.417736900146095e-15,0.3600000000000003,7.159603855250159e-07
0.3680000000000003,-0.3680000000000003,0.3680000000000003,-0.2,0.3680000000000003,-0.253895118075244,0.3680000000000003,-0.1206934500058595,0.3680000000000003,13.31724866733695,0.3680000000000003,72.27123548924449,0.3680000000000003,6.371597018332319e-05,0.3680000000000003,-1.046757886557493e-13,0.3680000000000003,-4.784469508329467e-06,0.3680000000000003,-2.701711275823226e-14,0.3680000000000003,-3.7705657082511e-15,0.3680000000000003,-8.45028605842171e-15,0.3680000000000003,8.816228164911542e-07
0.3760000000000003,-0.3760000000000003,0.3760000000000003,-0.2,0.3760000000000003,-0.253895118075244,0.3760000000000003,-0.1262789894806936,0.3760000000000003,12.74980161348569,0.3760000000000003,62.29384456717546,0.3760000000000003,6.77038167697351e-05,0.3760000000000003,-1.062685611729242e-13,0.3760000000000003,-5.310185901127949e-06,0.3760000000000003,-2.723904251200403e-14,0.3760000000000003,-3.859307474140362e-15,0.3760000000000003,-8.484686984276078e-15,0.3760000000000003,1.086846015688207e-06
0.3840000000000003,-0.3840000000000003,0.3840000000000003,-0.2,0.3840000000000003,-0.253895118075244,0.3840000000000003,-0.1319529901374802,0.3840000000000003,12.20642094548182,0.3840000000000003,53.40184872456834,0.3840000000000003,7.162164970915179e-05,0.3840000000000003,-1.076712810708529e-13,0.3840000000000003,-5.867538898535315e-06,0.3840000000000003,-2.742932023333301e-14,0.3840000000000003,-3.956967285561147e-15,0.3840000000000003,-8.521145717943648e-15,0.3840000000000003,1.341182963132158e-06
0.3920000000000003,-0.3920000000000003,0.3920000000000003,-0.2,0.3920000000000003,-0.253895118075244,0.3920000000000003,-0.1377057288467191,0.3920000000000003,11.68681097661287,0.3920000000000003,45.55345631068608,0.3920000000000003,7.544870477029174e-05,0.3920000000000003,-1.089138570871193e-13,0.3920000000000003,-6.455884750905964e-06,0.3920000000000003,-2.759316974056572e-14,0.3920000000000003,-4.064325084835101e-15,0.3920000000000003,-8.559873569085104e-15,0.3920000000000003,1.65626740275672e-06
0.4000000000000003,-0.4000000000000004,0.4000000000000003,-0.2,0.4000000000000003,-0.253895118075244,0.4000000000000003,-0.1435284442654937,0.4000000000000003,11.19030648596374,0.4000000000000003,38.69114500327999,0.4000000000000003,7.916488902274591e-05,0.4000000000000003,-1.100212078935582e-13,0.4000000000000003,-7.074416515970623e-06,0.4000000000000003,-2.773488944018098e-14,0.4000000000000003,-4.18223413644464e-15,0.4000000000000003,-8.601087249645402e-15,0.4000000000000003,2.046072531997562e-06
